food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Orange milkshake (Narangi milkshake),7.11,1.86,2.52,0.0,57.42,57.42,45.0,Low,Estimated(Category),Medium,3.2,Veg
Egg nog,8.15,4.78,5.11,0.02,97.14,97.14,30.0,Low,Estimated(Nutrient),Low,2.44,Non-Veg
Sweet Lassi (Meethi lassi),6.51,1.29,0.68,0.0,35.66,35.66,35.0,Low,Estimated(Category),Medium,2.28,Veg
Lassi (salted),1.86,1.35,0.72,0.02,18.84,18.84,25.0,Low,Measured,High,0.46,Veg
Cheese and chilli sandwich ,27.4,6.8,9.78,2.08,218.11,218.11,42.6,Low,Estimated(Nutrient),Low,11.67,Veg
Egg sandwich (Ande ka sandwich),29.16,8.69,15.8,1.88,285.96,285.96,32.4,Low,Estimated(Nutrient),Low,9.45,Non-Veg
Cucumber sandwich (Kheere ka sandwich),25.77,4.8,8.0,2.45,188.6,188.6,45.6,Low,Estimated(Nutrient),Low,11.75,Veg
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),29.1,8.2,12.8,2.33,257.71,257.71,45.0,Low,Estimated(Category),Medium,13.1,Veg
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),26.92,7.92,12.27,1.97,243.32,243.32,45.0,Low,Estimated(Category),Medium,12.11,Veg
Chicken sandwich,25.38,13.12,11.75,1.64,253.27,253.27,29.7,Low,Estimated(Nutrient),Low,7.54,Non-Veg
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),28.54,9.53,16.14,4.03,291.43,291.43,45.0,Low,Estimated(Category),Medium,12.84,Veg
Rainbow sandwich,34.26,7.75,12.54,2.1,272.75,272.75,38.2,Low,Estimated(Nutrient),Low,13.09,Veg
Club sandwich ,18.51,7.31,15.12,1.81,235.32,235.32,25.9,Low,Estimated(Nutrient),Low,4.79,Veg
Vegetarian club sandwich,19.68,5.45,11.33,2.06,198.33,198.33,31.8,Low,Estimated(Nutrient),Low,6.26,Veg
Pin wheel sandwich,14.0,8.77,24.93,0.93,311.52,311.52,25.0,Low,Estimated(Nutrient),Low,3.5,Veg
Carrot apple sandwich (Gajar aur seb ka sandwich),29.04,5.3,9.12,3.66,214.11,214.11,45.0,Low,Estimated(Category),Medium,13.07,Veg
Salami sandwich,21.54,8.7,15.51,1.97,255.59,255.59,27.3,Low,Estimated(Nutrient),Low,5.88,Veg
Vegetable and mayonnaise sandwich,23.2,4.47,15.4,2.35,244.26,244.26,35.0,Low,Estimated(Category),Medium,8.12,Veg
Egg and tomato sandwich (Ande aur tamatar ka sandwich),25.9,7.66,10.51,1.77,222.11,222.11,45.0,Low,Estimated(Category),Medium,11.66,Non-Veg
Sweet open sandwich,39.24,4.99,8.15,2.36,244.25,244.25,90.0,High,Estimated(Category),Medium,35.32,Veg
Mushroom and cheese sandwich (toasted),21.01,7.79,13.01,2.28,227.42,227.42,45.0,Low,Estimated(Category),Medium,9.45,Veg
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),21.42,6.82,12.95,1.78,224.58,224.58,45.0,Low,Estimated(Category),Medium,9.64,Veg
Pea potato sandwich (toasted) (Matar aloo ka sandwich),25.17,4.6,5.43,2.89,164.9,164.9,80.0,High,Estimated(Category),Medium,20.14,Veg
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),24.05,12.4,11.98,2.12,249.56,249.56,35.0,Low,Estimated(Category),Medium,8.42,Veg
Chicken sandwich (toasted),18.82,12.08,5.32,1.64,167.37,167.37,35.4,Low,Estimated(Nutrient),Low,6.66,Non-Veg
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),20.26,11.06,5.61,2.45,171.78,171.78,37.4,Low,Estimated(Nutrient),Low,7.58,Veg
Classic club sandwich,18.49,6.74,11.56,1.62,200.83,200.83,35.0,Low,Estimated(Category),Medium,6.47,Veg
Sesame toast,11.15,1.9,49.38,1.32,495.19,495.19,25.0,Low,Estimated(Nutrient),Low,2.79,Veg
Cracked wheat porridge (Meetha daliya),8.87,2.64,4.08,0.62,81.57,81.57,30.0,Low,Estimated(Category),Medium,2.66,Veg
Semolina porridge (Suji/Rava daliya),12.39,3.75,4.08,0.7,100.89,100.89,30.0,Low,Estimated(Category),Medium,3.72,Veg
Oatmeal Porridge,8.77,2.6,3.22,0.39,72.85,72.85,45.0,Low,Estimated(Category),Medium,3.95,Veg
Cornflakes with milk,14.95,3.59,5.12,0.78,117.33,117.33,45.0,Low,Estimated(Category),Medium,6.73,Veg
Rice flakes (Chiwda/Aval),15.57,3.62,3.99,0.37,112.44,112.44,75.0,High,Estimated(Category),Medium,11.68,Veg
Wheat flakes,15.57,3.62,3.99,0.37,112.44,112.44,45.1,Low,Estimated(Nutrient),Low,7.02,Veg
Murmura (Puffed rice),15.67,3.62,4.04,0.28,113.32,113.32,75.0,High,Estimated(Category),Medium,11.75,Veg
Puffed wheat (Murmure/Moori),15.67,3.62,4.04,0.28,113.32,113.32,45.1,Low,Estimated(Nutrient),Low,7.07,Veg
Boiled egg (Ubla anda),0.12,4.43,3.04,0.11,45.35,45.35,25.0,Low,Estimated(Nutrient),Low,0.03,Non-Veg
Fried Egg ,0.31,11.59,19.62,0.29,223.67,223.67,25.0,Low,Estimated(Nutrient),Low,0.08,Non-Veg
Poached egg,0.37,11.98,8.19,0.3,123.87,123.87,25.0,Low,Estimated(Nutrient),Low,0.09,Non-Veg
Scrambled egg (Ande ki bhurji),1.35,10.29,12.21,0.24,155.97,155.97,25.0,Low,Estimated(Nutrient),Low,0.34,Non-Veg
Baked egg ,15.42,11.88,12.65,1.03,218.85,218.85,25.0,Low,Estimated(Nutrient),Low,3.86,Non-Veg
Plain omelette/omlet,0.64,9.66,25.74,0.12,272.41,272.41,25.0,Low,Estimated(Nutrient),Low,0.16,Veg
Stuffed egg omelette/omlet,2.3,8.6,17.77,0.75,203.51,203.51,25.0,Low,Estimated(Nutrient),Low,0.57,Non-Veg
Pancake,20.49,5.68,10.82,0.65,203.36,203.36,32.8,Low,Estimated(Nutrient),Low,6.72,Veg
Keema pancake,9.56,9.01,11.25,0.84,176.27,176.27,25.0,Low,Estimated(Nutrient),Low,2.39,Veg
Vegetable pancake,12.24,3.87,6.57,2.48,125.18,125.18,35.0,Low,Estimated(Category),Medium,4.28,Veg
Jam and fruit pancake,20.73,3.79,7.01,1.21,162.02,162.02,45.0,Low,Estimated(Category),Medium,9.33,Veg
Khoa and coconut pancake,27.32,6.98,15.29,1.65,271.98,271.98,32.8,Low,Estimated(Nutrient),Low,8.96,Veg
Brown stock,0.25,1.95,1.38,0.09,21.32,21.32,25.0,Low,Estimated(Nutrient),Low,0.06,Veg
Vegetable stock,0.96,0.3,1.38,0.38,17.6,17.6,35.0,Low,Estimated(Category),Medium,0.34,Veg
Chicken stock,0.37,3.69,1.51,0.1,29.88,29.88,25.0,Low,Estimated(Nutrient),Low,0.09,Non-Veg
Clear tomato soup (Tamatar ka soup),3.45,4.79,12.22,1.96,80.07,80.07,45.0,Low,Estimated(Category),Medium,1.55,Veg
Lentil soup,3.94,9.65,11.68,2.57,31.17,31.17,44.0,Low,Measured,High,1.73,Veg
Lentil soup,3.94,9.65,11.68,2.57,31.17,31.17,35.0,Low,Measured,High,1.38,Veg
Chicken consomme (Clear chicken soup),1.19,11.47,12.02,1.57,47.94,47.94,25.0,Low,Estimated(Nutrient),Low,0.3,Non-Veg
Cream of tomato soup,3.93,4.61,13.12,1.38,97.81,97.81,45.0,Low,Estimated(Category),Medium,1.77,Veg
Cream of green peas soup,6.75,7.13,14.78,2.95,127.84,127.84,25.0,Low,Estimated(Nutrient),Low,1.69,Veg
Cream of spinach soup,3.45,5.21,13.31,1.74,100.54,100.54,25.0,Low,Estimated(Nutrient),Low,0.86,Veg
Cream of mixed vegetable soup,4.93,6.84,9.05,2.14,59.65,59.65,35.0,Low,Estimated(Category),Medium,1.73,Veg
Cream of mushroom soup,3.74,6.64,15.5,1.34,117.28,117.28,45.0,Low,Estimated(Category),Medium,1.68,Veg
Chicken sweet corn soup,1.63,14.48,12.59,0.47,28.32,28.32,90.0,High,Estimated(Category),Medium,1.47,Non-Veg
Minestrone soup,3.71,9.3,11.09,1.92,42.66,42.66,25.0,Low,Estimated(Nutrient),Low,0.93,Veg
Egg drop soup,1.1,12.93,13.52,0.81,26.64,26.64,25.0,Low,Estimated(Nutrient),Low,0.28,Non-Veg
Chinese cabbage and meat ball soup,1.43,5.21,56.57,0.57,484.31,484.31,35.0,Low,Estimated(Category),Medium,0.5,Non-Veg
French onion soup,4.28,11.41,14.39,1.01,55.61,55.61,25.0,Low,Estimated(Nutrient),Low,1.07,Veg
Hot and sour soup,1.78,3.12,1.31,0.6,31.51,31.51,25.0,Low,Estimated(Nutrient),Low,0.44,Veg
Talaumein soup,4.17,10.12,12.78,1.94,35.63,35.63,25.0,Low,Estimated(Nutrient),Low,1.04,Veg
Cold cucumber soup (Thanda kheere ka soup),4.58,2.99,1.99,0.88,48.03,48.03,30.4,Low,Estimated(Nutrient),Low,1.39,Veg
Cold summer garden soup,2.65,8.57,14.08,1.86,49.19,49.19,25.0,Low,Estimated(Nutrient),Low,0.66,Veg
Chapati/Roti,35.65,5.88,3.56,6.31,202.31,202.31,55.0,Low,Estimated(Category),Medium,19.61,Veg
Plain parantha/paratha,30.69,5.06,16.86,5.43,298.3,298.3,55.0,Low,Estimated(Category),Medium,16.88,Veg
Potato parantha/paratha (Aloo ka parantha/paratha),23.92,3.7,10.22,4.18,205.04,205.04,80.0,High,Estimated(Category),Medium,19.14,Veg
Radish parantha/paratha (Mooli ka parantha/paratha),20.54,3.3,9.53,4.32,183.52,183.52,55.0,Low,Estimated(Category),Medium,11.3,Veg
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),18.84,3.73,9.47,4.68,178.07,178.07,55.0,Low,Estimated(Category),Medium,10.36,Veg
Dal parantha/paratha,30.03,6.78,13.05,6.46,268.24,268.24,55.0,Low,Estimated(Category),Medium,16.52,Veg
Sprouted moong parantha/paratha,24.31,4.29,12.43,4.49,228.59,228.59,55.0,Low,Estimated(Category),Medium,13.37,Veg
Pea parantha/paratha (Matar ka parantha/paratha),21.51,5.59,8.8,5.61,190.73,190.73,55.0,Low,Estimated(Category),Medium,11.83,Veg
Keema parantha/paratha,18.36,9.41,13.91,3.44,238.09,238.09,55.0,Low,Estimated(Category),Medium,10.1,Veg
Paneer parantha/paratha,24.33,7.98,14.62,4.0,262.97,262.97,55.0,Low,Estimated(Category),Medium,13.38,Veg
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),21.39,5.54,12.09,4.39,216.49,216.49,55.0,Low,Estimated(Category),Medium,11.76,Veg
Poori,8.22,1.35,77.61,1.46,737.63,737.63,55.0,Low,Estimated(Category),Medium,4.52,Veg
Spinach poori (Palak poori),7.76,1.42,71.86,1.55,684.25,684.25,55.0,Low,Estimated(Category),Medium,4.27,Veg
Methi poori,7.98,1.45,74.6,1.61,710.02,710.02,55.0,Low,Estimated(Category),Medium,4.39,Veg
Dal stuffed poori,10.14,2.08,81.69,1.96,785.16,785.16,55.0,Low,Estimated(Category),Medium,5.58,Veg
Potato stuffed poori (Aloo ki poori),9.4,1.52,81.35,1.64,776.74,776.74,80.0,High,Estimated(Category),Medium,7.52,Veg
Tandoori parantha/paratha,30.74,5.08,16.51,5.44,295.37,295.37,55.0,Low,Estimated(Category),Medium,16.91,Veg
Boiled rice (Uble chawal),25.72,2.6,0.18,1.25,117.19,117.19,75.0,High,Estimated(Category),Medium,19.29,Veg
Plain pulao,21.82,2.34,4.62,1.69,140.21,140.21,51.3,Low,Estimated(Nutrient),Low,11.19,Veg
Mixed vegetable pulao,17.49,2.72,3.33,2.67,113.05,113.05,35.0,Low,Estimated(Category),Medium,6.12,Veg
Mushroom pulao,19.02,2.52,4.03,1.88,124.29,124.29,45.0,Low,Estimated(Category),Medium,8.56,Veg
Sprouted moong pulao,17.49,2.19,3.61,1.78,112.97,112.97,30.0,Low,Estimated(Category),Medium,5.25,Veg
Paneer pulao,8.76,1.98,59.81,0.62,581.91,581.91,35.0,Low,Estimated(Category),Medium,3.07,Veg
Peanut pulao ,21.18,5.32,9.51,2.9,193.28,193.28,45.0,Low,Estimated(Category),Medium,9.53,Veg
Navratan pulao,36.98,6.2,9.45,3.82,261.71,261.71,48.3,Low,Estimated(Nutrient),Low,17.86,Veg
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),27.57,4.88,4.82,3.15,173.43,173.43,45.0,Low,Estimated(Category),Medium,12.41,Veg
Mutton biryani/biriyani,22.5,7.38,7.72,2.42,190.76,190.76,40.8,Low,Estimated(Nutrient),Low,9.18,Non-Veg
Vegetable biryani/biriyani,18.56,3.16,9.51,3.31,174.61,174.61,35.0,Low,Estimated(Category),Medium,6.5,Veg
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",21.62,4.26,7.88,2.52,176.3,176.3,50.0,Low,Measured,High,10.81,Veg
Sweet rice (Meethe chawal),42.59,2.1,4.57,1.13,215.41,215.41,75.0,High,Estimated(Category),Medium,31.94,Veg
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),32.93,5.75,4.32,2.13,195.74,195.74,75.0,High,Estimated(Category),Medium,24.7,Veg
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),65.08,7.45,8.53,5.12,373.04,373.04,75.0,High,Estimated(Category),Medium,48.81,Veg
Spanish rice,31.1,4.19,2.23,2.78,164.24,164.24,75.0,High,Estimated(Category),Medium,23.32,Veg
Chinese fried rice,13.4,4.05,5.43,2.31,120.58,120.58,75.0,High,Estimated(Category),Medium,10.05,Veg
Macroni cheese pie,21.1,5.85,7.48,0.4,170.63,170.63,41.7,Low,Estimated(Nutrient),Low,8.8,Veg
Vegetable chowmein,15.44,3.07,6.36,1.86,129.71,129.71,35.0,Low,Estimated(Category),Medium,5.4,Veg
Chicken chowmein,13.3,6.33,8.23,1.64,151.33,151.33,32.3,Low,Estimated(Nutrient),Low,4.3,Non-Veg
Cheese noodle ring,13.96,6.22,6.12,1.27,133.67,133.67,35.8,Low,Estimated(Nutrient),Low,5.0,Veg
Spaghetti and cheese balls in tomato sauce,7.82,2.41,52.08,0.59,508.32,508.32,45.0,Low,Estimated(Category),Medium,3.52,Veg
Penne platter,20.87,5.04,8.71,1.09,177.4,177.4,41.0,Low,Estimated(Nutrient),Low,8.56,Veg
Pasta hot pot,11.6,5.84,6.47,0.8,125.17,125.17,45.0,Low,Estimated(Category),Medium,5.22,Veg
Chicken lasagne,13.9,10.45,10.36,0.11,187.49,187.49,25.0,Low,Estimated(Nutrient),Low,3.48,Non-Veg
Fettuccine with spinach sauce,12.19,3.1,7.83,0.77,129.21,129.21,35.4,Low,Estimated(Nutrient),Low,4.32,Veg
Naan,51.75,8.05,4.99,1.91,286.45,286.45,55.1,Medium,Estimated(Nutrient),Low,28.51,Veg
Bhatura,10.73,1.63,82.56,0.38,793.2,793.2,25.0,Low,Estimated(Nutrient),Low,2.68,Veg
Idli,28.18,4.64,0.33,2.31,137.54,137.54,85.0,High,Measured,High,23.95,Veg
Masala dosa,19.57,3.29,7.84,2.52,164.58,164.58,75.0,High,Estimated(Category),Medium,14.68,Veg
Semolina dosa (Suji/Rava dosa),32.84,7.3,7.12,4.04,227.05,227.05,75.0,High,Estimated(Category),Medium,24.63,Veg
Onion tomato uttapam,11.32,1.91,45.3,1.26,462.02,462.02,45.0,Low,Estimated(Category),Medium,5.09,Veg
Paneer kaathi roll,20.1,6.92,19.55,2.4,285.94,285.94,35.0,Low,Estimated(Category),Medium,7.04,Veg
Makki ki roti,24.19,3.49,16.85,5.19,263.97,263.97,55.0,Low,Estimated(Category),Medium,13.3,Veg
Washed moong dal (Dhuli moong ki dal),5.91,2.68,1.68,1.17,50.0,50.0,30.0,Low,Estimated(Category),Medium,1.77,Veg
Washed urad dal (Dhuli urad ki dal),5.84,2.51,2.98,1.53,61.32,61.32,30.0,Low,Estimated(Category),Medium,1.75,Veg
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),7.1,2.79,3.6,2.72,73.25,73.25,30.0,Low,Estimated(Category),Medium,2.13,Veg
Dry washed urad,15.66,6.85,3.5,4.06,124.71,124.71,40.6,Low,Estimated(Nutrient),Low,6.36,Veg
Mixed dal,5.79,2.51,3.1,1.62,61.93,61.93,30.0,Low,Estimated(Category),Medium,1.74,Veg
Whole moong (Moong ki dal),5.22,2.25,2.56,2.02,53.7,53.7,30.0,Low,Estimated(Category),Medium,1.57,Veg
Whole masoor (Masoor ki dal),5.37,2.28,2.52,1.98,54.05,54.05,30.0,Low,Estimated(Category),Medium,1.61,Veg
Whole moth (Moth ki dal),5.74,2.01,2.62,1.85,55.0,55.0,30.0,Low,Estimated(Category),Medium,1.72,Veg
Whole urad (Urad ki dal),5.05,2.21,2.62,2.32,53.8,53.8,30.0,Low,Estimated(Category),Medium,1.52,Veg
Moti mahal dal (Urad rajmah mix dal),8.74,3.93,5.66,3.38,103.13,103.13,30.0,Low,Estimated(Category),Medium,2.62,Veg
Black channa curry/Bengal gram curry (Kale chane ki curry),14.11,5.67,6.61,7.99,140.68,140.68,40.0,Low,Estimated(Category),Medium,5.64,Veg
Chickpeas curry (Safed channa curry),19.98,6.1,6.84,4.73,163.43,163.43,45.0,Low,Estimated(Category),Medium,8.99,Veg
Lobia curry,17.88,6.06,5.62,4.57,148.99,148.99,40.0,Low,Estimated(Category),Medium,7.15,Veg
Soyabean curry,6.76,10.43,10.19,7.34,163.28,163.28,40.0,Low,Estimated(Category),Medium,2.7,Veg
Kidney bean curry (Rajmah curry),16.38,5.95,5.77,5.83,143.73,143.73,40.0,Low,Estimated(Category),Medium,6.55,Veg
Sambar,10.57,3.35,4.38,3.52,96.92,96.92,40.0,Low,Estimated(Category),Medium,4.23,Veg
Besan kadhi with pakodies,3.56,1.64,42.59,0.81,403.35,403.35,25.0,Low,Estimated(Nutrient),Low,0.89,Veg
Khatta channa,21.14,6.3,10.56,5.26,202.57,202.57,55.0,Low,Estimated(Category),Medium,11.63,Veg
Sprouted moong dal chat,6.01,1.35,0.32,1.35,32.47,32.47,30.0,Low,Estimated(Category),Medium,1.8,Veg
Potato cauliflower (Aloo gobhi),5.99,1.9,8.13,3.02,106.18,106.18,80.0,High,Estimated(Category),Medium,4.79,Veg
Potato capsicum (Shimla mirch aloo),8.72,1.41,9.33,2.02,125.53,125.53,80.0,High,Estimated(Category),Medium,6.98,Veg
Cabbage and peas (Pattagobhi aur matar),6.24,3.24,2.64,3.99,63.88,63.88,55.0,Low,Estimated(Category),Medium,3.43,Veg
Carrot and fenugreek leaves (Gajar methi),4.17,2.1,3.81,4.43,61.92,61.92,45.0,Low,Estimated(Category),Medium,1.88,Veg
Potato fenugreek (Aloo methi),8.47,2.25,10.04,2.93,135.15,135.15,80.0,High,Estimated(Category),Medium,6.78,Veg
Brinjal bhartha (Baingan ka bhartha),4.4,1.38,4.48,3.27,65.12,65.12,35.0,Low,Estimated(Category),Medium,1.54,Veg
Dry potato (Sookhe aloo),14.38,1.62,4.18,1.88,103.15,103.15,80.0,High,Estimated(Category),Medium,11.5,Veg
Beans with coconut (Nariyal aur sem/phali; Beans thoran),4.39,2.62,11.39,5.59,131.63,131.63,45.0,Low,Estimated(Category),Medium,1.98,Veg
Cauliflower with coconut (Nariyal ke saath phoolgobhi),3.99,2.64,11.56,5.27,132.11,132.11,35.0,Low,Estimated(Category),Medium,1.4,Veg
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),4.99,1.82,8.62,4.52,106.61,106.61,45.0,Low,Estimated(Category),Medium,2.25,Veg
Raw turnip with coconut ,5.78,1.8,11.47,2.79,132.15,132.15,25.0,Low,Estimated(Nutrient),Low,1.44,Veg
Raw papaya with coconut (Papaya thoran),5.58,1.54,11.42,4.31,132.75,132.75,40.0,Low,Estimated(Category),Medium,2.23,Veg
Stuffed okra (Bharwa bhindi),3.85,2.08,7.66,4.15,94.34,94.34,35.0,Low,Estimated(Category),Medium,1.35,Veg
Stuffed round gourd (Bharwa tinde),4.02,1.1,5.75,2.1,72.8,72.8,25.0,Low,Estimated(Nutrient),Low,1.0,Veg
Stuffed capsicum (Bharwa shimla mirch),8.26,1.34,5.7,2.01,90.94,90.94,35.5,Low,Estimated(Nutrient),Low,2.93,Veg
Stuffed brinjal (Bharwa baingan),3.96,1.53,7.73,4.09,93.0,93.0,35.0,Low,Estimated(Category),Medium,1.39,Veg
Stuffed tomatoes (Bharwa tamatar),6.19,3.28,6.06,2.2,93.35,93.35,45.0,Low,Estimated(Category),Medium,2.79,Veg
Pea potato curry (Aloo matar),9.74,3.48,5.13,3.61,100.92,100.92,80.0,High,Estimated(Category),Medium,7.79,Veg
Pea paneer curry (Matar paneer),9.29,6.61,7.75,3.3,134.83,134.83,40.0,Low,Estimated(Category),Medium,3.72,Veg
Pea mushroom curry (Matar mushroom),7.41,3.87,5.16,3.86,93.3,93.3,45.0,Low,Estimated(Category),Medium,3.33,Veg
Pea curry (Matar ki sabzi),9.2,4.51,5.11,4.44,102.99,102.99,40.0,Low,Estimated(Category),Medium,3.68,Veg
Pea vadi curry,8.9,4.64,5.08,4.28,101.95,101.95,40.0,Low,Estimated(Category),Medium,3.56,Veg
Paneer curry,8.4,7.8,12.38,1.4,176.52,176.52,40.0,Low,Estimated(Category),Medium,3.36,Veg
Lotus stem curry (Kamal kakdi curry),9.24,1.53,7.25,3.14,110.34,110.34,40.0,Low,Estimated(Category),Medium,3.7,Veg
Gravy for kofta,6.31,1.75,10.35,1.96,125.59,125.59,25.0,Low,Estimated(Nutrient),Low,1.58,Veg
Pea kofta curry (Matar kofta curry),4.17,2.01,63.39,1.7,595.66,595.66,40.0,Low,Estimated(Category),Medium,1.67,Veg
Spinach kofta curry (Palak kofta curry),3.56,1.09,61.49,0.92,571.78,571.78,40.0,Low,Estimated(Category),Medium,1.42,Veg
Paneer kofta curry,3.27,2.39,72.06,0.4,670.91,670.91,40.0,Low,Estimated(Category),Medium,1.31,Veg
Lotus stem kofta curry (Kamal kakdi kofta curry),5.01,0.96,67.76,1.01,633.56,633.56,40.0,Low,Estimated(Category),Medium,2.0,Veg
Raw banana kofta curry (Kela kofta curry),3.4,0.62,67.98,0.59,627.27,627.27,63.0,Medium,Estimated(Category),Medium,2.14,Veg
Cauliflower kofta curry (Phoolgobhi kofta curry),2.62,1.04,69.62,1.0,641.1,641.1,40.0,Low,Estimated(Category),Medium,1.05,Veg
Cabbage kofta curry (Pattagobhi kofta curry),2.87,0.98,69.4,0.9,639.81,639.81,55.0,Low,Estimated(Category),Medium,1.58,Veg
Ghiya/Lauki Kofta Curry,2.71,0.89,69.4,0.83,638.71,638.71,40.0,Low,Estimated(Category),Medium,1.08,Veg
Spinach paneer kofta curry (Palak paneer kofta curry),2.94,1.43,65.41,0.75,606.03,606.03,40.0,Low,Estimated(Category),Medium,1.18,Veg
Vegetarian egg kofta curry,4.26,1.33,67.24,0.64,627.41,627.41,40.0,Low,Estimated(Category),Medium,1.7,Non-Veg
Baked vegetables,8.44,3.67,4.44,2.34,88.99,88.99,35.0,Low,Estimated(Category),Medium,2.95,Veg
Cauliflower musallam (Phoolgobhi musallam),4.48,1.89,3.55,3.06,58.83,58.83,35.0,Low,Estimated(Category),Medium,1.57,Veg
Baked vegetables with spinach ,6.93,3.22,4.03,2.33,77.79,77.79,35.0,Low,Estimated(Category),Medium,2.43,Veg
Baked potato with skin ,11.11,3.43,8.5,1.2,135.77,135.77,80.0,High,Estimated(Category),Medium,8.89,Veg
Shepherd's pie (vegetarian),12.03,5.04,7.3,2.23,135.63,135.63,33.2,Low,Estimated(Nutrient),Low,3.99,Veg
Baked brinjal in tomato sauce,4.13,1.58,1.62,2.34,38.63,38.63,45.0,Low,Estimated(Category),Medium,1.86,Veg
Dum aloo,3.33,0.7,74.01,0.68,682.33,682.33,25.0,Low,Estimated(Nutrient),Low,0.83,Veg
Spinach paneer (Palak paneer),4.43,4.03,4.76,1.91,77.68,77.68,35.0,Low,Estimated(Category),Medium,1.55,Veg
Methi chaman,2.78,1.54,50.91,0.53,475.62,475.62,25.0,Low,Estimated(Nutrient),Low,0.7,Veg
Sarson ka saag,5.33,3.0,5.86,3.69,87.84,87.84,25.0,Low,Estimated(Nutrient),Low,1.33,Veg
Jackfruit sabzi (Kathal ki sabzi),3.4,0.69,67.6,1.02,625.4,625.4,45.0,Low,Estimated(Category),Medium,1.53,Veg
Avial,8.47,2.46,8.94,5.44,124.56,124.56,40.0,Low,Estimated(Category),Medium,3.39,Veg
Al yakhani,4.65,2.86,13.14,1.27,147.54,147.54,25.0,Low,Estimated(Nutrient),Low,1.16,Veg
Shahi paneer,6.64,5.06,12.34,1.4,156.5,156.5,20.0,Low,Measured,High,1.33,Veg
Paneer in butter sauce,9.7,6.99,8.81,1.5,145.61,145.61,35.0,Low,Estimated(Category),Medium,3.4,Veg
Methi malai paneer,8.15,7.34,14.76,1.47,194.98,194.98,35.0,Low,Estimated(Category),Medium,2.85,Veg
Chilli paneer,3.31,2.1,84.01,0.5,777.51,777.51,35.0,Low,Estimated(Category),Medium,1.16,Veg
Paneer makhana korma,4.63,3.24,82.76,0.21,775.82,775.82,35.0,Low,Estimated(Category),Medium,1.62,Veg
